PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Barcelona;Alt Penedès;Gelida;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;152;3,55
Barcelona;Alt Penedès;Gelida;PP;PARTIDO POPULAR/PARTIT POPULAR;126;2,94
Barcelona;Alt Penedès;Gelida;VOX;VOX;112;2,61
Barcelona;Alt Penedès;Gelida;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;64;1,49
Barcelona;Alt Penedès;Gelida;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;9;0,21
Barcelona;Alt Penedès;Gelida;RCERO;RECORTES CERO-GRUPO VERDE;9;0,21
Barcelona;Alt Penedès;Gelida;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;3;0,07
Barcelona;Alt Penedès;Gelida;CNV;CONVERGENTS;1;0,02
Barcelona;Alt Penedès;Gelida;IZQP;IZQUIERDA EN POSITIVO;1;0,02
Barcelona;Alt Penedès;La Granada;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;504;38,59
Barcelona;Alt Penedès;La Granada;JxCAT;JUNTS PER CATALUNYA-JUNTS;259;19,83
Barcelona;Alt Penedès;La Granada;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);191;14,62
Barcelona;Alt Penedès;La Granada;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;139;10,64
Barcelona;Alt Penedès;La Granada;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;70;5,36
Barcelona;Alt Penedès;La Granada;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;44;3,37
Barcelona;Alt Penedès;La Granada;PP;PARTIDO POPULAR/PARTIT POPULAR;37;2,83
Barcelona;Alt Penedès;La Granada;VOX;VOX;28;2,14
Barcelona;Alt Penedès;La Granada;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;21;1,61
Barcelona;Alt Penedès;La Granada;CNV;CONVERGENTS;2;0,15
Barcelona;Alt Penedès;La Granada;RCERO;RECORTES CERO-GRUPO VERDE;1;0,08
Barcelona;Alt Penedès;La Granada;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;La Granada;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;La Granada;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Alt Penedès;Mediona;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;442;35,25
Barcelona;Alt Penedès;Mediona;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);215;17,15
Barcelona;Alt Penedès;Mediona;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;176;14,04
Barcelona;Alt Penedès;Mediona;JxCAT;JUNTS PER CATALUNYA-JUNTS;161;12,84
Barcelona;Alt Penedès;Mediona;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;88;7,02
Barcelona;Alt Penedès;Mediona;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;65;5,18
Barcelona;Alt Penedès;Mediona;VOX;VOX;38;3,03
Barcelona;Alt Penedès;Mediona;PP;PARTIDO POPULAR/PARTIT POPULAR;31;2,47
Barcelona;Alt Penedès;Mediona;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;24;1,91
Barcelona;Alt Penedès;Mediona;RCERO;RECORTES CERO-GRUPO VERDE;5;0,40
Barcelona;Alt Penedès;Mediona;CNV;CONVERGENTS;1;0,08
Barcelona;Alt Penedès;Mediona;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Mediona;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;Mediona;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Alt Penedès;Olèrdola;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;698;32,56
Barcelona;Alt Penedès;Olèrdola;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);390;18,19
Barcelona;Alt Penedès;Olèrdola;JxCAT;JUNTS PER CATALUNYA-JUNTS;381;17,77
Barcelona;Alt Penedès;Olèrdola;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;252;11,75
Barcelona;Alt Penedès;Olèrdola;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;205;9,56
Barcelona;Alt Penedès;Olèrdola;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;75;3,50
Barcelona;Alt Penedès;Olèrdola;VOX;VOX;52;2,43
Barcelona;Alt Penedès;Olèrdola;PP;PARTIDO POPULAR/PARTIT POPULAR;42;1,96
Barcelona;Alt Penedès;Olèrdola;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;34;1,59
Barcelona;Alt Penedès;Olèrdola;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;3;0,14
Barcelona;Alt Penedès;Olèrdola;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;3;0,14
Barcelona;Alt Penedès;Olèrdola;RCERO;RECORTES CERO-GRUPO VERDE;2;0,09
Barcelona;Alt Penedès;Olèrdola;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Olèrdola;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Olesa de Bonesvalls;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;275;25,49
Barcelona;Alt Penedès;Olesa de Bonesvalls;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);247;22,89
Barcelona;Alt Penedès;Olesa de Bonesvalls;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;202;18,72
Barcelona;Alt Penedès;Olesa de Bonesvalls;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;156;14,46
Barcelona;Alt Penedès;Olesa de Bonesvalls;JxCAT;JUNTS PER CATALUNYA-JUNTS;74;6,86
Barcelona;Alt Penedès;Olesa de Bonesvalls;VOX;VOX;47;4,36
Barcelona;Alt Penedès;Olesa de Bonesvalls;PP;PARTIDO POPULAR/PARTIT POPULAR;36;3,34
Barcelona;Alt Penedès;Olesa de Bonesvalls;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;19;1,76
Barcelona;Alt Penedès;Olesa de Bonesvalls;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;19;1,76
Barcelona;Alt Penedès;Olesa de Bonesvalls;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,09
Barcelona;Alt Penedès;Olesa de Bonesvalls;RCERO;RECORTES CERO-GRUPO VERDE;1;0,09
Barcelona;Alt Penedès;Olesa de Bonesvalls;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Olesa de Bonesvalls;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Olesa de Bonesvalls;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Alt Penedès;Pacs del Penedès;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;196;33,45
Barcelona;Alt Penedès;Pacs del Penedès;JxCAT;JUNTS PER CATALUNYA-JUNTS;107;18,26
Barcelona;Alt Penedès;Pacs del Penedès;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);87;14,85
Barcelona;Alt Penedès;Pacs del Penedès;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;73;12,46
Barcelona;Alt Penedès;Pacs del Penedès;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;47;8,02
Barcelona;Alt Penedès;Pacs del Penedès;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;29;4,95
Barcelona;Alt Penedès;Pacs del Penedès;VOX;VOX;17;2,90
Barcelona;Alt Penedès;Pacs del Penedès;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;11;1,88
Barcelona;Alt Penedès;Pacs del Penedès;PP;PARTIDO POPULAR/PARTIT POPULAR;11;1,88
Barcelona;Alt Penedès;Pacs del Penedès;CNV;CONVERGENTS;1;0,17
Barcelona;Alt Penedès;Pacs del Penedès;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1;0,17
Barcelona;Alt Penedès;Pacs del Penedès;RCERO;RECORTES CERO-GRUPO VERDE;1;0,17
